user_id,nome,sobrenome,email,cpf,data_nascimento,genero,estado,estado_civil,ocupacao,nivel_educacional,faixa_renda,data_ativacao,dispositivo,telefone
U00383,Ana Cecília,Pereira,theo75@example.org,81520406683.0,1995-09-15,M,MG,Divorciado/a,Empregado,Pós-graduação,Média,2022-07-01,Android,+55 (071) 9123-9623
U00683,Bruno,Gonçalves,clara45@example.com,34151638847.0,2002-10-11,F,RJ,Viúvo/a,Desempregado,Pós-graduação,Alta,2022-07-01,Android,+55 (041) 0999 7454
U00880,Ana Luiza,Porto,davi-miguelduarte@example.com,95848798344.0,2002-05-19,F,DF,Divorciado/a,Autônomo,Outro,Alta,2022-07-01,iOS,(031) 3120 8647
U00947,João Pedro,da Costa,gabrielly90@example.com,40730537736.0,1980-07-01,M,MG,Casado/a,Desempregado,Outro,Média,2022-07-01,Android,31 2171-8919
U01280,Yuri,Siqueira,acassiano@example.net,35604082367.0,1985-03-21,F,RJ,Viúvo/a,Estudante,Superior,Baixa,2022-07-01,Android,+55 (084) 7758 8381
U02066,Natália,Silveira,gael-henrique92@example.com,36291337704.0,1988-05-15,F,DF,Solteiro/a,Estudante,Pós-graduação,Alta,2022-07-01,iOS,+55 (061) 3324 5178
U03186,Lucas Gabriel,Aragão,joao-guilherme89@example.org,49236433233.0,1976-03-20,Outro,RJ,Casado/a,Aposentado,Ensino Médio,Baixa,2022-07-01,Android,+55 51 3498 1756
U04526,João Gabriel,Melo,jcostela@example.com,11335263084.0,1970-01-01,F,BA,Viúvo/a,Empregado,Superior,Baixa,2022-07-01,Android,0300 382 9793
U04876,Eloah,Mendonça,enzo43@example.com,19552792406.0,1983-01-08,M,PE,Divorciado/a,Empregado,Ensino Médio,Baixa,2022-07-01,iOS,+55 51 9078 3622
U04144,Pedro Miguel,Albuquerque,hda-mata@example.org,43049425469.0,1982-09-26,F,CE,Viúvo/a,Autônomo,Outro,Média,2022-07-02,Android,+55 71 8243 1571
U04355,Henrique,Cunha,raulpeixoto@example.net,30847323136.0,1970-01-01,M,RJ,Solteiro/a,Empregado,Superior,Média,2022-07-02,Android,+55 (051) 5309 2395
U01407,Ian,Fernandes,calmeida@example.net,65895920109.0,1985-04-12,F,MG,Casado/a,Estudante,Técnico,Baixa,2022-07-03,iOS,71 8290-0295
U01429,Ágatha,Freitas,pietro32@example.org,51316937742.0,1990-08-05,F,PE,Solteiro/a,Autônomo,Superior,Média,2022-07-03,Android,+55 (084) 7292 3086
U02055,Bianca,Siqueira,hdias@example.org,18912263798.0,1970-01-01,F,RJ,Casado/a,Empregado,Ensino Médio,Média,2022-07-03,Android,81 0309 0482
U03029,Vitor Hugo,Jesus,silveirabianca@example.com,51988738524.0,1988-08-10,F,DF,Divorciado/a,Aposentado,Pós-graduação,Média,2022-07-03,iOS,+55 (061) 6540 8533
U03643,Anthony,Martins,joao-lucasmoraes@example.net,17842035451.0,1970-01-01,M,MG,Casado/a,Aposentado,Superior,Média,2022-07-03,iOS,(051) 0842-9119
U03773,Ana,Pastor,enzoabreu@example.com,27303391493.0,1972-03-03,M,RS,Solteiro/a,Empregado,Técnico,Alta,2022-07-03,Android,+55 84 5217-0739
U03849,Pedro,Sousa,duartearthur-gabriel@example.org,73240332775.0,1970-01-01,F,PE,Viúvo/a,Desempregado,Ensino Médio,Média,2022-07-03,Android,+55 51 8353 4305
U04520,Gabrielly,Rocha,arthur95@example.com,99366488901.0,1979-04-07,F,CE,Divorciado/a,Aposentado,Pós-graduação,Alta,2022-07-03,iOS,+55 (011) 2400-6493
U00106,Mariana,Azevedo,emachado@example.com,70098344090.0,1970-01-01,Outro,CE,Viúvo/a,Estudante,Pós-graduação,Baixa,2022-07-04,Android,+55 81 5205-4505
U00912,Carolina,Moraes,silveiramaysa@example.com,85886804677.0,1976-01-26,M,RS,Solteiro/a,Autônomo,Técnico,Alta,2022-07-04,Android,84 8368 5272
U01756,Stella,Monteiro,larissapereira@example.net,52609286500.0,1989-09-03,M,MG,Casado/a,Empregado,Superior,Alta,2022-07-04,iOS,0300-697-4461
U01764,Murilo,da Paz,lorenzocamara@example.net,33159792280.0,1994-08-23,F,MG,Solteiro/a,Estudante,Superior,Média,2022-07-04,iOS,(031) 8999 0478
U02610,João Gabriel,Costa,garciaallana@example.net,88804303640.0,1986-10-02,F,PE,Divorciado/a,Estudante,Pós-graduação,Alta,2022-07-04,Android,31 2040 0335
U02775,Ester,da Cunha,anthonymarques@example.net,45806902361.0,1983-05-23,M,SP,Solteiro/a,Autônomo,Pós-graduação,Alta,2022-07-04,Android,+55 (031) 9803-4825
U03209,Pedro Lucas,Caldeira,laviniamonteiro@example.com,36471160859.0,1988-09-20,Outro,RS,Divorciado/a,Aposentado,Pós-graduação,Alta,2022-07-04,iOS,+55 (071) 5019 7285
U03422,Ian,Freitas,abreupietro@example.net,89848296197.0,1970-01-01,F,PE,Solteiro/a,Aposentado,Outro,Média,2022-07-04,iOS,(071) 0872-7044
U04842,Enrico,Teixeira,pereiraana-julia@example.org,32912085673.0,1989-02-06,F,CE,Solteiro/a,Autônomo,Pós-graduação,Média,2022-07-04,Android,+55 11 0162-3501
U01768,Levi,Cirino,souzaalicia@example.net,69630702386.0,1970-01-01,F,PR,Casado/a,Aposentado,Outro,Alta,2022-07-05,iOS,+55 81 6590 1214
U02104,Vinicius,Cavalcante,vargasyan@example.net,66261486995.0,1976-04-08,F,MG,Casado/a,Empregado,Outro,Alta,2022-07-05,Android,84 0440-0378
U02376,Jade,Silva,iribeiro@example.net,96179850766.0,1987-09-10,F,RS,Viúvo/a,Empregado,Superior,Alta,2022-07-05,iOS,(031) 7886-4083
U02584,Antônio,Sá,gustavoda-paz@example.org,21502075838.0,1989-02-18,F,RJ,Viúvo/a,Aposentado,Pós-graduação,Alta,2022-07-05,Android,+55 (021) 9433 3781
U02668,Camila,da Conceição,ceciliada-mata@example.com,66315174912.0,1970-01-01,M,BA,Casado/a,Autônomo,Ensino Médio,Média,2022-07-05,iOS,0800 587 9651
U00838,Luara,Novaes,isabelrocha@example.net,96013940829.0,1970-01-01,Outro,RS,Casado/a,Empregado,Outro,Alta,2022-07-06,iOS,(051) 7979-5902
U01957,Enzo Gabriel,Pinto,juliananascimento@example.org,59034049499.0,1990-03-16,F,RJ,Casado/a,Aposentado,Pós-graduação,Média,2022-07-06,Android,(041) 6610 3249
U02246,Ana Luiza,das Neves,ravy54@example.org,46885806351.0,1971-06-16,Outro,PR,Viúvo/a,Autônomo,Superior,Média,2022-07-06,iOS,+55 51 5571 3417
U03264,Bento,Pires,ana-laura13@example.net,28725780874.0,1976-03-29,M,DF,Solteiro/a,Empregado,Superior,Baixa,2022-07-06,iOS,0800 555 4192
U03663,Mariah,Silveira,limaeloah@example.org,79800474032.0,1970-01-01,F,PE,Solteiro/a,Estudante,Outro,Baixa,2022-07-06,Android,84 6075 5981
U00894,Vitor,Rezende,aliceduarte@example.org,92355130630.0,1970-01-01,F,PR,Divorciado/a,Autônomo,Outro,Média,2022-07-07,Android,0900-395-5053
U01029,Heloísa,Castro,rael70@example.net,25914285376.0,1980-11-28,Outro,DF,Casado/a,Desempregado,Superior,Média,2022-07-07,Android,+55 (081) 3960-7184
U03793,Rael,Carvalho,gomeslunna@example.org,39932855587.0,1970-01-01,M,SP,Solteiro/a,Autônomo,Superior,Alta,2022-07-07,iOS,+55 51 6274 8571
U00481,Natália,Ribeiro,leticia53@example.net,33115171997.0,1970-01-01,M,BA,Solteiro/a,Desempregado,Pós-graduação,Baixa,2022-07-08,Android,+55 (051) 8558-1444
U02555,Luiz Otávio,Macedo,enricomoraes@example.org,72064727466.0,1987-05-16,M,SP,Solteiro/a,Desempregado,Outro,Alta,2022-07-08,iOS,+55 81 1303 3908
U03489,Isabel,Cassiano,nathan84@example.net,24243662501.0,1970-01-01,F,RS,Divorciado/a,Desempregado,Superior,Baixa,2022-07-08,iOS,+55 (051) 1498-2631
U00327,Henrique,Monteiro,mathias73@example.com,33780865352.0,2003-08-14,M,DF,Solteiro/a,Aposentado,Outro,Baixa,2022-07-09,Android,+55 31 2182 8480
U00404,Helena,Pires,vrios@example.org,17441866854.0,1970-01-01,Outro,RS,Casado/a,Autônomo,Outro,Alta,2022-07-09,iOS,(041) 4113 2007
U00480,Maria Alice,Rodrigues,pintoclara@example.com,55635034761.0,2000-07-09,Outro,RJ,Solteiro/a,Autônomo,Pós-graduação,Alta,2022-07-09,Android,61 0801-7001
U01794,Vitor,Rios,nborges@example.com,93978032966.0,1986-07-04,M,RJ,Divorciado/a,Desempregado,Ensino Médio,Média,2022-07-09,Android,+55 (041) 9551-9039
U04942,Aylla,Ramos,cmartins@example.org,68375569677.0,1986-10-29,M,PE,Casado/a,Estudante,Superior,Média,2022-07-09,iOS,(071) 1024-6443
U00702,Kamilly,Leão,diaslucas@example.org,51761358377.0,1986-01-10,Outro,MG,Solteiro/a,Empregado,Superior,Alta,2022-07-10,Android,0800 110 5588
U00983,Bryan,Cavalcanti,cavalcantikaique@example.org,28582861106.0,1990-04-22,F,RS,Divorciado/a,Estudante,Pós-graduação,Baixa,2022-07-10,iOS,+55 (021) 2914-3030
U01815,Aylla,Aragão,pda-conceicao@example.com,97146171602.0,1996-04-19,M,MG,Viúvo/a,Aposentado,Técnico,Alta,2022-07-10,Android,(041) 7711-5544
U01921,Levi,Camargo,santosolivia@example.org,53841958515.0,1970-01-01,F,PR,Viúvo/a,Empregado,Técnico,Média,2022-07-10,iOS,0300-578-8221
U03131,Asafe,Melo,borgesheitor@example.org,90158678116.0,1970-01-01,M,CE,Solteiro/a,Autônomo,Outro,Alta,2022-07-10,iOS,+55 (031) 7098 1880
U01586,Mariana,Marques,martinsfernanda@example.com,86398500269.0,1984-08-02,F,PR,Divorciado/a,Empregado,Superior,Alta,2022-07-11,Android,21 9207-2221
U03362,Ester,Pacheco,lucas21@example.net,55315019342.0,1992-04-18,Outro,CE,Casado/a,Desempregado,Ensino Médio,Alta,2022-07-11,Android,41 1405 4193
U03855,Maria Alice,da Rosa,macedofrancisco@example.net,41391476079.0,1970-01-01,M,CE,Casado/a,Autônomo,Superior,Baixa,2022-07-11,Android,84 3335-6474
U04039,Vitória,da Rocha,alanacasa-grande@example.com,55308209256.0,1980-05-05,F,CE,Divorciado/a,Estudante,Outro,Baixa,2022-07-11,iOS,(084) 3220-3884
U04523,Mariah,Silveira,benicio13@example.com,55198395555.0,1999-09-13,F,SP,Solteiro/a,Desempregado,Técnico,Baixa,2022-07-11,Android,+55 (011) 6027 3440
U00455,Ana,da Costa,vianaana-cecilia@example.net,17679356724.0,1970-01-01,M,SP,Casado/a,Desempregado,Técnico,Alta,2022-07-12,iOS,0500-659-3968
U00672,Kaique,Ramos,kamillyfarias@example.com,46724475887.0,1992-10-26,Outro,PE,Viúvo/a,Aposentado,Outro,Baixa,2022-07-12,Android,+55 (071) 6309 6349
U01283,José Pedro,Ribeiro,lucasda-rocha@example.net,93282436781.0,1970-01-01,M,MG,Viúvo/a,Empregado,Outro,Alta,2022-07-12,iOS,+55 (084) 3457-4674
U02401,Maria Flor,Fernandes,lvasconcelos@example.com,90807998745.0,2001-10-05,F,BA,Casado/a,Empregado,Pós-graduação,Alta,2022-07-12,Android,+55 (031) 4555 1883
U03314,Otávio,Sales,oliveirajose-pedro@example.com,46475808662.0,1990-12-28,Outro,PE,Divorciado/a,Empregado,Ensino Médio,Média,2022-07-12,Android,(021) 4210 0505
U03587,Liz,Sousa,costelabento@example.org,61927106138.0,1970-01-01,M,SP,Viúvo/a,Empregado,Superior,Alta,2022-07-12,Android,+55 (084) 4976-7056
U04178,Caio,Aparecida,juanribeiro@example.com,42284130627.0,1970-01-01,Outro,DF,Solteiro/a,Desempregado,Ensino Médio,Média,2022-07-12,iOS,+55 31 4644-2719
U04406,Cecília,Duarte,sarah02@example.com,52326244224.0,1979-11-23,Outro,PR,Divorciado/a,Desempregado,Técnico,Alta,2022-07-12,iOS,+55 41 4454 4451
U00786,João Vitor,Castro,hmarques@example.net,38804616034.0,1982-03-28,M,SP,Divorciado/a,Autônomo,Superior,Média,2022-07-13,Android,0300 254 6624
U01068,Nathan,da Rocha,hellena90@example.org,53727771110.0,1997-07-05,M,RS,Viúvo/a,Estudante,Pós-graduação,Média,2022-07-13,iOS,+55 (084) 9629-7754
U01642,Maria Sophia,Dias,maria-luisarezende@example.com,24382039348.0,1984-12-19,Outro,BA,Divorciado/a,Estudante,Técnico,Alta,2022-07-13,Android,+55 (051) 5312-3794
U02840,Ana Laura,Carvalho,hjesus@example.com,85138799249.0,1989-06-17,M,SP,Viúvo/a,Desempregado,Técnico,Média,2022-07-13,iOS,11 9303 3968
U03253,Yasmin,Pimenta,valentinateixeira@example.com,15736724895.0,1984-03-01,Outro,CE,Viúvo/a,Empregado,Pós-graduação,Baixa,2022-07-13,iOS,+55 11 2803-0479
U03634,João Pedro,Costa,ana-livia89@example.net,85368233051.0,2000-12-17,F,PE,Casado/a,Aposentado,Ensino Médio,Alta,2022-07-13,Android,+55 (031) 4696-8329
U04397,Maria Laura,Gomes,alice82@example.net,99608891538.0,1991-12-16,M,SP,Casado/a,Autônomo,Ensino Médio,Média,2022-07-13,Android,(011) 9212-6511
U04902,Maria Sophia,Montenegro,leonardonascimento@example.com,13264493426.0,1982-12-13,M,RS,Viúvo/a,Empregado,Técnico,Média,2022-07-13,iOS,(061) 6639 7380
U00899,Stephany,Vieira,ana-liz18@example.com,16609545320.0,1999-08-28,F,SP,Viúvo/a,Empregado,Outro,Alta,2022-07-14,Android,0500-163-8338
U01195,Maria Cecília,Cunha,raragao@example.org,26007385776.0,1970-01-01,Outro,CE,Viúvo/a,Empregado,Ensino Médio,Baixa,2022-07-14,iOS,81 1863-8832
U02574,Calebe,Almeida,camargogabriela@example.net,99921673875.0,1992-11-15,Outro,RS,Viúvo/a,Estudante,Outro,Média,2022-07-14,Android,+55 (021) 9526 5077
U02801,Larissa,Silva,guilhermevasconcelos@example.org,80709158161.0,1994-05-07,Outro,PR,Viúvo/a,Estudante,Pós-graduação,Baixa,2022-07-14,iOS,(081) 2311-7937
U03390,Natália,Porto,kramos@example.net,58399957862.0,1972-03-28,Outro,CE,Casado/a,Estudante,Pós-graduação,Baixa,2022-07-14,Android,(084) 5999 2812
U00161,Júlia,Oliveira,teixeirasophia@example.net,12603629063.0,1970-01-01,Outro,PR,Divorciado/a,Autônomo,Ensino Médio,Baixa,2022-07-15,iOS,+55 41 1782 9575
U00874,Sarah,Melo,julia37@example.com,37098812158.0,2002-05-13,Outro,PE,Viúvo/a,Empregado,Ensino Médio,Média,2022-07-15,iOS,0900-626-1979
U00938,Lucas Gabriel,Ribeiro,monteirocaue@example.net,90534170515.0,1978-11-21,Outro,CE,Solteiro/a,Aposentado,Superior,Alta,2022-07-15,iOS,41 4527-3273
U01689,Manuella,Andrade,hsantos@example.com,19454594163.0,1972-03-16,Outro,BA,Divorciado/a,Desempregado,Pós-graduação,Baixa,2022-07-15,iOS,+55 (051) 5972-9508
U02651,Zoe,Sá,cleao@example.net,20892449861.0,1970-12-12,F,PE,Casado/a,Desempregado,Ensino Médio,Baixa,2022-07-15,iOS,(021) 2617 7915
U02967,Laura,Novais,dante57@example.com,97349627182.0,2006-10-14,Outro,MG,Divorciado/a,Desempregado,Técnico,Média,2022-07-15,Android,+55 41 2364-8780
U04085,Manuela,da Luz,monteiroana-cecilia@example.com,47494115974.0,1971-09-15,M,CE,Solteiro/a,Autônomo,Ensino Médio,Média,2022-07-15,iOS,+55 84 6073 7993
U04086,Bella,Rodrigues,estheralmeida@example.org,73307273408.0,1970-01-01,Outro,MG,Solteiro/a,Autônomo,Pós-graduação,Alta,2022-07-15,Android,(021) 4008 5414
U04294,Raul,Costa,asafebrito@example.org,75548408348.0,1971-10-26,M,MG,Viúvo/a,Autônomo,Ensino Médio,Média,2022-07-15,iOS,+55 (084) 1382-6051
U04726,Noah,Silveira,asafe41@example.com,61746584305.0,2005-12-19,F,DF,Viúvo/a,Desempregado,Ensino Médio,Baixa,2022-07-15,Android,+55 11 5810-0685
U01664,Leandro,Aragão,ana-juliamonteiro@example.com,81922097191.0,1993-01-17,Outro,CE,Solteiro/a,Autônomo,Outro,Média,2022-07-16,Android,+55 21 5568-8666
U00008,Maria Julia,Martins,sophie66@example.org,53604959872.0,1987-07-13,F,CE,Casado/a,Autônomo,Superior,Alta,2022-07-17,Android,+55 61 1335 9451
U00343,Ísis,Fernandes,leaolara@example.org,18653980222.0,1970-01-01,Outro,DF,Solteiro/a,Desempregado,Superior,Alta,2022-07-17,Android,0500-598-0095
U02446,Manuella,Teixeira,cunhamelina@example.org,82571712401.0,1970-08-22,Outro,PE,Casado/a,Autônomo,Pós-graduação,Baixa,2022-07-17,Android,(041) 8504 8278
U00132,Maria Fernanda,Viana,noahfarias@example.com,23509500979.0,1970-01-01,M,MG,Divorciado/a,Aposentado,Pós-graduação,Alta,2022-07-18,iOS,+55 41 0103 7667
U01134,Mathias,Porto,oliviada-mata@example.com,80343432462.0,1970-01-01,M,BA,Divorciado/a,Empregado,Outro,Alta,2022-07-18,Android,+55 21 2254-6783
U04368,Joaquim,Aparecida,fcaldeira@example.com,46031522119.0,2004-04-04,F,PE,Casado/a,Aposentado,Técnico,Baixa,2022-07-18,iOS,+55 (071) 7472-3428
U01485,Isadora,Caldeira,britolorena@example.com,60984721313.0,1992-03-26,M,DF,Solteiro/a,Aposentado,Pós-graduação,Baixa,2022-07-19,Android,(061) 8925-9654
U02550,Oliver,Câmara,maya29@example.net,26961890281.0,1985-06-20,F,DF,Casado/a,Empregado,Outro,Alta,2022-07-19,Android,+55 81 6035 4159
U00299,Miguel,Porto,julia80@example.org,32389536712.0,1970-01-01,F,BA,Casado/a,Autônomo,Pós-graduação,Baixa,2022-07-20,Android,+55 84 2854 7474
U00751,Maria Eduarda,Cassiano,freitasaugusto@example.net,61036702854.0,1997-07-28,Outro,RS,Casado/a,Aposentado,Outro,Média,2022-07-20,iOS,+55 11 8174-8937
U03475,Larissa,Oliveira,ottorodrigues@example.net,44339291871.0,1970-01-01,F,PR,Solteiro/a,Empregado,Técnico,Alta,2022-07-20,iOS,(084) 8069-7745
U03681,Isabel,Fogaça,cda-luz@example.net,69131039770.0,1994-01-10,Outro,RJ,Casado/a,Aposentado,Superior,Média,2022-07-20,iOS,(071) 3383-2225
U03724,Ágatha,Cavalcante,maite53@example.org,11692050339.0,2004-10-25,F,BA,Divorciado/a,Estudante,Outro,Média,2022-07-20,iOS,(021) 9921-1273
U00056,Pedro Lucas,Marques,viniciusalves@example.org,84255913286.0,1981-09-11,Outro,BA,Viúvo/a,Empregado,Outro,Baixa,2022-07-21,Android,61 3968 7526
U01712,André,da Rocha,rodriguesravi@example.org,11441172735.0,1996-07-13,Outro,PR,Divorciado/a,Empregado,Técnico,Média,2022-07-21,iOS,+55 71 0762-6891
U01882,Júlia,Santos,isadora55@example.org,28821087326.0,1972-12-10,F,BA,Casado/a,Estudante,Pós-graduação,Média,2022-07-21,iOS,(084) 3055-1255
U03341,Luna,Silveira,salesvinicius@example.com,32022104104.0,1970-01-01,M,SP,Viúvo/a,Empregado,Outro,Baixa,2022-07-21,Android,(071) 0810-6229
U04156,Pedro Henrique,Novais,garaujo@example.com,16122621620.0,1975-10-27,Outro,RJ,Solteiro/a,Autônomo,Outro,Média,2022-07-21,Android,81 2128-5814
U04480,Cecilia,Silveira,gsilveira@example.com,39324945061.0,1970-01-01,Outro,DF,Casado/a,Desempregado,Outro,Alta,2022-07-21,Android,+55 (071) 3971-4370
U00109,Juan,Moreira,da-rochalavinia@example.org,29210756760.0,1970-01-01,M,MG,Solteiro/a,Empregado,Técnico,Baixa,2022-07-22,iOS,+55 (084) 8329-7483
U01325,Thales,Costa,allana97@example.org,66187047968.0,2005-02-13,M,RS,Casado/a,Empregado,Outro,Média,2022-07-22,iOS,+55 (041) 2822 0122
U01960,Liam,Pacheco,eda-rosa@example.org,80451231874.0,1985-08-20,Outro,PR,Casado/a,Estudante,Ensino Médio,Alta,2022-07-22,Android,+55 11 7427-4268
U04056,Bruno,Vargas,thomasmendes@example.org,65618541130.0,1998-02-14,Outro,SP,Solteiro/a,Desempregado,Ensino Médio,Baixa,2022-07-22,Android,(031) 8877-2758
U04573,Caleb,Carvalho,psouza@example.org,19504642194.0,1999-01-15,F,PR,Casado/a,Estudante,Outro,Alta,2022-07-22,iOS,+55 71 3961 1038
U04541,Emanuelly,Moreira,camposthiago@example.com,46938486621.0,1970-01-01,M,MG,Divorciado/a,Autônomo,Superior,Alta,2022-07-23,iOS,+55 41 1287-4516
U04600,Heloisa,da Luz,vieirasarah@example.org,67740252562.0,1987-12-01,M,DF,Divorciado/a,Aposentado,Técnico,Média,2022-07-23,Android,+55 (061) 5907-4529
U04781,Isabella,Monteiro,marquesjoao-vitor@example.com,69057632818.0,1993-10-25,F,DF,Viúvo/a,Desempregado,Pós-graduação,Média,2022-07-23,iOS,84 4377-1091
U04739,Matteo,Moura,apollo01@example.net,67470201199.0,1970-01-01,Outro,RJ,Viúvo/a,Desempregado,Ensino Médio,Alta,2022-07-24,iOS,+55 11 2124-6377
U00929,Jade,Oliveira,yasmin80@example.com,79585516323.0,1982-12-07,F,PR,Viúvo/a,Desempregado,Pós-graduação,Baixa,2022-07-25,Android,(061) 9681-0117
U00463,Emanuel,Albuquerque,tsantos@example.com,70645006631.0,1978-04-17,M,SP,Divorciado/a,Autônomo,Outro,Baixa,2022-07-26,iOS,+55 61 4552-8413
U01509,Ana Carolina,Melo,arthur-miguel64@example.net,26693635788.0,1982-07-01,M,MG,Viúvo/a,Empregado,Ensino Médio,Alta,2022-07-26,Android,71 5729 0037
U03267,Alice,Câmara,riosleandro@example.net,90876148678.0,1993-10-12,F,PE,Viúvo/a,Aposentado,Pós-graduação,Alta,2022-07-26,iOS,(021) 3650-6604
U03305,Sarah,Cirino,vitornovaes@example.com,80016770073.0,1983-04-02,F,PR,Casado/a,Estudante,Ensino Médio,Média,2022-07-26,iOS,0800 144 3585
U00221,Francisco,Albuquerque,gcaldeira@example.org,17521877999.0,1970-01-01,M,RJ,Divorciado/a,Aposentado,Ensino Médio,Média,2022-07-27,iOS,(081) 0046 7690
U00611,Yasmin,Dias,isilva@example.com,79620778924.0,1970-01-01,Outro,RS,Solteiro/a,Autônomo,Ensino Médio,Média,2022-07-27,iOS,+55 61 3972 9634
U02079,Marcela,Caldeira,davi-miguel49@example.com,77165154576.0,1970-01-03,M,CE,Divorciado/a,Aposentado,Técnico,Média,2022-07-27,Android,11 6405-9799
U02138,Oliver,Castro,bjesus@example.org,38203477094.0,1972-01-12,M,RJ,Casado/a,Desempregado,Pós-graduação,Baixa,2022-07-27,iOS,41 9939 1350
U02216,Ester,Porto,benicio30@example.org,22103616843.0,1974-03-18,M,MG,Casado/a,Estudante,Ensino Médio,Baixa,2022-07-27,Android,+55 51 0016 6396
U02956,Clara,Brito,kcastro@example.org,82835212900.0,1980-07-21,M,BA,Solteiro/a,Empregado,Ensino Médio,Média,2022-07-27,Android,+55 41 9190 3801
U03588,Gabrielly,Rios,costelapedro-lucas@example.com,59238496797.0,1970-01-01,F,SP,Solteiro/a,Aposentado,Pós-graduação,Baixa,2022-07-27,Android,+55 (071) 6383-5233
